Recall status,Name of Recall,Campaign/NHTSA,Date of recall,description,Safety Risk,Remedy,link
complete,# 15086 : ONSTAR SYSTEM INOPERATIVE - CHIP CORRUPTION - * EXPIRES ON 12/31/17 *,,2015-07-20,,,,https://www.chevrolet.com/ownercenter/api/1G11C5SL5FF129883/gfas?cb=16777551996700.4782935067564471
incomplete,# 16188 : Brake Lamp Malfunction,,2017-03-02,"Some 2004-2012 model year Chevrolet Malibu, 2004-2007 model year Chevrolet Malibu Maxx, 2005-2010 model year Pontiac G6, and 2007-2009 model year Saturn AURA vehicles may have a condition where increased resistance in the body control module (BCM) connection system can result in voltage fluctuations or intermittency in the brake apply sensor (BAS) circuit that can cause brake lamp malfunction. Specifically, the brake lamps may either illuminate without the brake pedal applied, or turn off when the pedal is applied.

This special coverage covers the condition described above for a period of 15 years or 150,000 miles (240,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.","The brake lamps may either illuminate without the brake pedal applied, or turn off when the pedal is applied.","Dealers are to attach the wiring harness to the BCM with a spacer, apply dielectric lubricant to the BCM X2 (C2) connector and the BAS harness connector, and relearn the brake pedal home position.  The repairs will be made at no charge to the customer.",https://www.chevrolet.com/ownercenter/api/1G1ZK57B59F189219/gfas?cb=16777551996700.4782935067564471
incomplete,Special Coverage 15356,,2006-05-23,"On some 2007-2012 model year Chevrolet Malibu, 2007-2010 model year Pontiac G6, or 2007-2010 model year Saturn AURA vehicles equipped with electric power steering assist (EPS), the steering column torque sensor or the EPS motor/controller may cause the vehicle to suddenly lose EPS. If the vehicle loses EPS, the vehicle’s driver information center will display a warning message and a warning chime will sound. The vehicle will revert to a manual steering mode, which requires greater driver effort to operate at low vehicle speeds.

This special coverage covers the condition described above for a period of 10 years or 150,000 miles (240,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,,https://www.chevrolet.com/ownercenter/api/1G1ZK57B59F189219/gfas?cb=16777551996700.4782935067564471
complete,# 09041 : SHIFT LEVER INDICATOR MAY NOT DISPLAY CORRECT GEAR,09V073,2009-03-09,"General Motors is recalling MY 2009 Buick Enclave, Chevrolet Cobalt, HHR, Malibu, Traverse, GMC Acadia, Pontiac G5, G6 and Saturn Aura and Outlook passenger vehicles.  These vehicles fail to comply with Federal Motor Vehicles Safety Standard 102, ""Transmission Shift Position Sequence, Starter Interlock, and Transmission Braking Effect"", and FMVSS 114, ""Theft Protection and Rollaway Prevention"".  On some of these vehicles, the transmission shift cable adjustment clip may not be fully engaged. If the clip is not fully engaged, the shift lever and the actual position of the transmission gear may not match.  With this condition, the drive could move the shifter to ""park"" and remove the ignition key, but the transmission gear may not be in ""park"".","The driver may not be able to restart the vehicle and the vehicle could roll away after the driver has exited the vehicle, resulting in a possible crash without prior warning.","Dealers will inspect and ensure that the shift cable adjustment clip is fully engaged. In the event that the clip does not engage, the shift cable will be replaced free of charge.",https://www.chevrolet.com/ownercenter/api/1G1ZK57B59F189219/gfas?cb=16777551996700.4782935067564471
complete,# 13036 : BRAKE LAMP MALFUNCTION,14V252,2014-08-19,"General Motors has decided that a defect which relates to motor vehicle safety exists in 2004-2012 Malibu, 2004-2007 Malibu Maxx, 2005-2010 Pontiac G6, 2007-2010 Saturn Aura vehicles.  On these vehicles, over time an increased resistance can develop in the Body Control Module (BCM) connection system and result in voltage fluctuations or intermittency in the Brake Apply Sensor (BAS) circuit that can cause service brake lamp malfunction.  As a result, the service brake lamps may illuminate when the service brakes are not being applied, or may not illuminate when the service brakes are being applied.  Additionally, cruise control may not engage.  If cruise control is engaged, additional service brake pedal travel may be required to disengage it.  Service brake pedal application may not be required to move the shift lever out of PARK, or additional service brake pedal travel may be required to move the shift lever out of PARK.  Traction control, electronic stability control, and panic braking assist features, if equipped, may be disabled.  Service ESC and/or Traction Control tell-tales may illuminate with this condition.",These conditions may increase the risk of a crash.,"Dealers are to attach the wiring harness to the BCM with a spacer, apply dielectric lubricant to both the BCM and harness connector and on the BAS and harness connector, and relearn the brake pedal home position free of charge.",https://www.chevrolet.com/ownercenter/api/1G1ZK57B59F189219/gfas?cb=16777551996700.4782935067564471
incomplete,# 15682 : Fuel and Vapor Leaks due to cracks in the fuel pump module flange or leaks past the sender seal - 2007-2013 Chevrolet Corvette & 2007-2009 Cadillac XLR,,2017-01-13,"Some 2007 to 2009 model year XLR or 2007 to 2013 model year Corvette vehicles may have a condition where a fuel odor is detected, fuel droplets appear below the left-hand fuel tank with fuel gauge level above 1/2, or a malfunction indicator lamp illuminates due to a leak path in the left-hand fuel pump module flange.

This special coverage covers the condition described above for a period of 10 years or 120,000 miles (193,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,Dealers are to replace the left hand fuel tank fuel pump module.  The repairs will be made at no charge to the customer.,https://www.chevrolet.com/ownercenter/api/1G1YG2DW2A5100929/gfas?cb=16777551996700.4782935067564471
complete,# 14203 : CORVETTE LOW-BEAM HEADLAMPS INOPERATIVE,,2014-12-04,,,,https://www.chevrolet.com/ownercenter/api/1G1YG2DW2A5100929/gfas?cb=16777551996700.4782935067564471
incomplete,Special Coverage N150643,,2003-03-10,"Some 2004-2009 model year Cadillac XLR and 2005-2013 model year Chevrolet Corvette vehicles, equipped with power seats, may have a condition where, the wire harness connector from the seat side airbag and buckle tensioner to the body has a design interference between the vertical adjust crossbar and the carpet.  When the seat is moved forward or back, the connector may be dragged along the carpet, pulling terminals loose or pulling the connector apart. This will cause a diagnostic trouble code to be set and the service airbag light will be illuminated.

This special coverage covers the condition described above for a period of 10 years or 120,000 miles (193,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,,https://www.chevrolet.com/ownercenter/api/1G1YG2DW2A5100929/gfas?cb=16777551996700.4782935067564471
complete,# 13036 : BRAKE LAMP MALFUNCTION,14V252,2014-08-19,"General Motors has decided that a defect which relates to motor vehicle safety exists in 2004-2012 Malibu, 2004-2007 Malibu Maxx, 2005-2010 Pontiac G6, 2007-2010 Saturn Aura vehicles.  On these vehicles, over time an increased resistance can develop in the Body Control Module (BCM) connection system and result in voltage fluctuations or intermittency in the Brake Apply Sensor (BAS) circuit that can cause service brake lamp malfunction.  As a result, the service brake lamps may illuminate when the service brakes are not being applied, or may not illuminate when the service brakes are being applied.  Additionally, cruise control may not engage.  If cruise control is engaged, additional service brake pedal travel may be required to disengage it.  Service brake pedal application may not be required to move the shift lever out of PARK, or additional service brake pedal travel may be required to move the shift lever out of PARK.  Traction control, electronic stability control, and panic braking assist features, if equipped, may be disabled.  Service ESC and/or Traction Control tell-tales may illuminate with this condition.",These conditions may increase the risk of a crash.,"Dealers are to attach the wiring harness to the BCM with a spacer, apply dielectric lubricant to both the BCM and harness connector and on the BAS and harness connector, and relearn the brake pedal home position free of charge.",https://www.chevrolet.com/ownercenter/api/1G1ZH57B09F225445/gfas?cb=16777551996700.4782935067564471
incomplete,# 16188 : Brake Lamp Malfunction,,2017-03-02,"Some 2004-2012 model year Chevrolet Malibu, 2004-2007 model year Chevrolet Malibu Maxx, 2005-2010 model year Pontiac G6, and 2007-2009 model year Saturn AURA vehicles may have a condition where increased resistance in the body control module (BCM) connection system can result in voltage fluctuations or intermittency in the brake apply sensor (BAS) circuit that can cause brake lamp malfunction. Specifically, the brake lamps may either illuminate without the brake pedal applied, or turn off when the pedal is applied.

This special coverage covers the condition described above for a period of 15 years or 150,000 miles (240,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.","The brake lamps may either illuminate without the brake pedal applied, or turn off when the pedal is applied.","Dealers are to attach the wiring harness to the BCM with a spacer, apply dielectric lubricant to the BCM X2 (C2) connector and the BAS harness connector, and relearn the brake pedal home position.  The repairs will be made at no charge to the customer.",https://www.chevrolet.com/ownercenter/api/1G1ZH57B09F225445/gfas?cb=16777551996700.4782935067564471
incomplete,Special Coverage 15356,,2006-05-23,"On some 2007-2012 model year Chevrolet Malibu, 2007-2010 model year Pontiac G6, or 2007-2010 model year Saturn AURA vehicles equipped with electric power steering assist (EPS), the steering column torque sensor or the EPS motor/controller may cause the vehicle to suddenly lose EPS. If the vehicle loses EPS, the vehicle’s driver information center will display a warning message and a warning chime will sound. The vehicle will revert to a manual steering mode, which requires greater driver effort to operate at low vehicle speeds.

This special coverage covers the condition described above for a period of 10 years or 150,000 miles (240,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,,https://www.chevrolet.com/ownercenter/api/1G1ZH57B09F225445/gfas?cb=16777551996700.4782935067564471
complete,# 12106 : SHIFT LEVER INDICATOR MAY NOT DISPLAY CORRECT GEAR,12V460,2012-12-10,"General Motors is recalling certain model year 2007-2010 Saturn Aura and model year 2008-2010 Chevrolet Malibu and Pontiac G6 vehicles, equipped with a 4-speed automatic transmission. On these vehicles, the tabs on the transmission shift cable end may fracture and separate.","If the tabs were to fracture and separate, the shift lever and the actual position of the transmission gear may not match.  The driver would be able to move the shifter to 'PARK' and remove the ignition key, but the transmission gear may not be in 'PARK.'  the vehicle may not be able to be restarted and the vehicle could roll away after the driver has exited the vehicle, resulting in a possible crash without prior warning.",Dealers will install a retainer over the cable end or replace the shift cable as necessary free of charge.,https://www.chevrolet.com/ownercenter/api/1G1ZH57B09F225445/gfas?cb=16777551996700.4782935067564471
incomplete,Special Coverage 14582,,2001-01-01,"On some 2008 model year (MY) Saturn Outlook; 2008-2009 MY Buick Allure, Chevrolet Equinox, Chevrolet Uplander, Pontiac G8, Pontiac Montana SV6, Pontiac Torrent, and Saturn VUE; 2008-2010 MY Hummer H3 and Pontiac G6; 2008-2011 MY Cadillac CTS, Cadillac SRX, and Chevrolet Impala; 2008, 2011-2012 MY Chevrolet Captiva; 2008-2011 MY Buick Enclave, Buick Lacrosse; 2008-2012 MY Chevrolet Colorado, Chevrolet Malibu, and GMC Canyon; 2009 MY Hummer H3T; 2009-2011 MY Buick Lucerne; 2009-2011 MY Chevrolet Traverse and GMC Acadia; and 2010-2011 MY Buick Regal vehicles, the throttle-position sensor may cause the engine to run rough, cause the malfunction-indicator lamp and/or an engine reduced power message to illuminate, and reduce the engine’s power.

This special coverage covers the condition described above for a period of 10 years or 120,000 miles (193,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,,https://www.chevrolet.com/ownercenter/api/2CNDL13FX96230188/gfas?cb=16777551996700.4782935067564471
incomplete,Special Coverage 12191,,2001-01-01,"Some 2006 model year Pontiac Pursuit, 2006-2007 model year Saturn ION, 2006-2009 model year Chevrolet Cobalt, 2007-2009 model year Chevrolet Equinox, Pontiac G5, and Torrent, and 2008-2009 model year Chevrolet Uplander and Pontiac Montana SV6 vehicles may have a condition where the plastic supply or return port on the fuel pump cracks and leaks fuel or fuel vapors. Fuel vapors, in the presence of an ignition source, could potentially cause a vehicle fire.  The symptoms of this condition are: a noticeable fuel odor while the vehicle is being driven or after it is parked; the Check Engine Soon light may be illuminated on the instrument cluster; if the crack is large enough, fuel may be observed on the ground, or vehicle performance may be affected

Under this special coverage, should a vehicle ever experience this condition, the owner must take the vehicle to their GM dealer and have the dealer inspect the vehicle, confirm the condition, and then repair that vehicle for free.",,,https://www.chevrolet.com/ownercenter/api/2CNDL13FX96230188/gfas?cb=16777551996700.4782935067564471
incomplete,Special Coverage 10250,,2007-04-03,,,,https://www.chevrolet.com/ownercenter/api/2CNDL33F486000740/gfas?cb=16777551996700.4782935067564471
incomplete,Special Coverage 12191,,2001-01-01,"Some 2006 model year Pontiac Pursuit, 2006-2007 model year Saturn ION, 2006-2009 model year Chevrolet Cobalt, 2007-2009 model year Chevrolet Equinox, Pontiac G5, and Torrent, and 2008-2009 model year Chevrolet Uplander and Pontiac Montana SV6 vehicles may have a condition where the plastic supply or return port on the fuel pump cracks and leaks fuel or fuel vapors. Fuel vapors, in the presence of an ignition source, could potentially cause a vehicle fire.  The symptoms of this condition are: a noticeable fuel odor while the vehicle is being driven or after it is parked; the Check Engine Soon light may be illuminated on the instrument cluster; if the crack is large enough, fuel may be observed on the ground, or vehicle performance may be affected

Under this special coverage, should a vehicle ever experience this condition, the owner must take the vehicle to their GM dealer and have the dealer inspect the vehicle, confirm the condition, and then repair that vehicle for free.",,,https://www.chevrolet.com/ownercenter/api/2CNDL33F486000740/gfas?cb=16777551996700.4782935067564471
incomplete,Special Coverage 14582,,2001-01-01,"On some 2008 model year (MY) Saturn Outlook; 2008-2009 MY Buick Allure, Chevrolet Equinox, Chevrolet Uplander, Pontiac G8, Pontiac Montana SV6, Pontiac Torrent, and Saturn VUE; 2008-2010 MY Hummer H3 and Pontiac G6; 2008-2011 MY Cadillac CTS, Cadillac SRX, and Chevrolet Impala; 2008, 2011-2012 MY Chevrolet Captiva; 2008-2011 MY Buick Enclave, Buick Lacrosse; 2008-2012 MY Chevrolet Colorado, Chevrolet Malibu, and GMC Canyon; 2009 MY Hummer H3T; 2009-2011 MY Buick Lucerne; 2009-2011 MY Chevrolet Traverse and GMC Acadia; and 2010-2011 MY Buick Regal vehicles, the throttle-position sensor may cause the engine to run rough, cause the malfunction-indicator lamp and/or an engine reduced power message to illuminate, and reduce the engine’s power.

This special coverage covers the condition described above for a period of 10 years or 120,000 miles (193,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,,https://www.chevrolet.com/ownercenter/api/2CNDL33F486000740/gfas?cb=16777551996700.4782935067564471
complete,# 07224 : ELEC STAB CONT (ESC) DISABLED W/OUT WARN LIGHT-REP COMP MODULE**EXP 9/30/08**,,2007-09-04,,,,https://www.chevrolet.com/ownercenter/api/2CNDL33F486000740/gfas?cb=16777551996700.4782935067564471
complete,# 07290 : EMISSION SYSTEM - INCORRECT FUEL SENDER HARNESS CONNECTOR PLUGS,,2008-01-17,,,,https://www.chevrolet.com/ownercenter/api/2CNDL33F486000740/gfas?cb=16777551996700.4782935067564471
complete,# 02039 : REARWARD FOLDING HEAD RESTRAINTS PINCH POINT,02V253,2002-10-31,"Certain sport utility vehicles equipped with rearward folding head restraints on the second row seats, two potential pinch points exist on each of the folding head restraints when the restraints are folded rearward as the seatback is folded down.","If a person were to insert their finger(s) into the pinch point when the head restraint folds, it could trap and pinch the finger(s) causing injury.",Dealers will install protective covers over the pinch points free of charge.,https://www.chevrolet.com/ownercenter/api/1GNEC13T11R106860/gfas?cb=16777551996700.4782935067564471
complete,# 04043 : LOWER CONTROL ARM WASHER,04V273,2004-08-18,"On certain passenger vehicles involved in this campaign, the lower control arm ball stud nut/washer assemblies with washers were made of the wrong material.  The washers may fracture and become loose or fall away from the vehicle, reducing clamp load.  Separation of the control arm ball stud and steering knuckle, due to disengagement of the tapered attachment and retaining nut, is possible.","If the control arm separates from the knuckle, the affected corner of the  vehicle will drop and the control arm would be forced downward, contacting the wheel. The affected wheel could tilt outward and create a dragging action that would tend to slow the vehicle and create a tendency for the vehicle to turn in the direction of the affected wheel.   In extreme situations, the affected wheel assembly could separate from the vehicle.  Separation of the wheel assembly would also sever that wheels hydraulic brake hose and result in diminished braking performance of the vehicle, which could result in a crash.","Dealers will inspect the ball stud joints and measure the torque of the nut for all front lower control arms in all models affected as well as the rear lower control arms on the XLR and Corvette.  If the torque is not at specification, the dealers will replace the ball stud, the knuckle, and the nut free of charge. If the torque is at specification, the dealers will replace the nut/washer assembly only free of charge.",https://www.chevrolet.com/ownercenter/api/1G1YY32G145127252/gfas?cb=16777551996700.4782935067564471
incomplete,Windshield Wiper Failure,22V165,2022-03-29,"General Motors has decided that a defect, which relates to motor vehicle safety, exists in certain 2014-2015 model year Chevrolet Equinox and GMC Terrain vehicles.  The ball joints in the windshield wiper modules of these vehicles may experience high corrosion and wear that could result in the separation of one or more ball joints from their sockets during wiper operation.  If a ball joint were to separate, one or both of the windshield wipers could become inoperative.","If one or both of the windshield wipers become inoperative, it could limit the driver’s visibility under certain operating conditions, which may increase the risk of a crash.",Dealers will inspect the wiper module and repair or replace as necessary.,https://www.chevrolet.com/ownercenter/api/2GNALCEK5E6311498/gfas?cb=16777551996700.4782935067564471
incomplete,Wiper Transmission Arm Linkage Failure,,2019-12-17,"Some 2010-2017 model year Equinox or Terrain vehicles may have a condition where a link ball socket in the Front wiper transmission may separate. If this were to occur, the driver would experience a sudden loss of Front wiper function.
	
This special coverage covers the condition described above for a period of 10 years or 150,000 miles (240,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,Dealers are to replace the front wiper module with the latest version with improved sockets and a new water shield.  The repairs will be made at no charge to the customer.,https://www.chevrolet.com/ownercenter/api/2GNALCEK5E6311498/gfas?cb=16777551996700.4782935067564471
incomplete,Front Passenger Airbag Takata Inflator – Priority Group 6,21V050,2021-02-05,"TK Holdings Inc. (“Takata”) has decided that a defect which relates to motor vehicle safety exists in the passenger-side frontal airbag inflators installed as original equipment in certain 2007 to 2014 model year Cadillac Escalade, Escalade ESV, and Escalade EXT vehicles; certain Chevrolet Avalanche, Silverado 1500, Silverado 2500/3500, Suburban, and Tahoe vehicles; and certain GMC Sierra 1500, Sierra 2500/3500, Yukon, and Yukon XL vehicles.  The determination was made that the propellant in these inflators may degrade after long-term exposure to high humidity and temperature cycling, which could cause the inflator to rupture during a deployment.","An inﬂator rupture may cause metal fragments to pass through the airbag and into the vehicle interior at high speed, which may result in injury or death to vehicle occupants.",Dealers will replace the passenger-side frontal airbag inflator.,https://www.chevrolet.com/ownercenter/api/3GNFC16038G214199/gfas?cb=16777551996700.4782935067564471
incomplete,Special Coverage 11273,,2000-05-09,"Some 2008-2009 Chevrolet TrailBlazer; GMC Envoy; HUMMER H2; Saab 9-7x; 2008-2011 Cadillac Escalade, Escalade ESV, Escalade EXT; Chevrolet Avalanche, Express, Silverado, Suburban, Tahoe; GMC Savana, Sierra, Yukon, Yukon XL; 2008-2010 HUMMER H3; 2009-2011 Chevrolet Colorado; GMC Canyon; and 2009-2010 HUMMER H3T vehicles, equipped with a V8 engine, may have a condition where the throttle position sensor may cause the engine to run rough and cause the malfunction indicator lamp and/or an Engine Reduced Power message to illuminate. If this occurs, it could result in reduced engine power.

This special coverage covers the condition described above for a period of 10 years or 120,000 miles (193,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,,https://www.chevrolet.com/ownercenter/api/3GNFC16038G214199/gfas?cb=16777551996700.4782935067564471
complete,# 16007 : Frontal Airbag And Seat Belt Pretensioner Non Deploys,16V651,2016-09-08,"General Motors has decided that a defect which relates to motor vehicle safety exists in certain 2014-2017 model year Chevrolet Silverado LD, GMC Sierra LD, Buick Encore, Chevrolet Trax, Chevrolet Caprice Police, and Chevrolet Corvette vehicles, 2014-2016 model year Buick Lacrosse, Chevrolet Spark EV, and Chevrolet SS vehicles and 2015-2017 model year Chevrolet Silverado HD, GMC Sierra HD, GMC Yukon, GMC Yukon XL, Cadillac Escalade Cadillac Escalade ESV, Chevrolet Suburban, and Chevrolet Tahoe vehicles.  The sensing and diagnostic module (SDM) in these vehicles, which controls airbag and pretensioner deployment, contains a software defect which may prevent the deployment of frontal airbags and pretensioners in certain rare circumstances. If the frontal airbags and seatbelt pretensioners do not deploy when required, there is an increased risk of injury to occupants in a crash.","If the frontal airbags and seatbelt pretensioners do not deploy when required, there is an increased risk of injury to occupants in a crash.","Reprogram the SDM with new software that eliminates this defect.  In vehicles with any previous deployment events recorded in the SDM, dealers will replace the existing SDM with a new SDM prior to programming and setup.  Note: Before replacing the SDM, any airbag related Diagnostic Trouble Codes should be identified, diagnosed, and corrected prior to SDM replacement.  Faulty SIR components in need of replacement are unrelated to this safety recall and are not covered under the terms of this safety recall.",https://www.chevrolet.com/ownercenter/api/1GNSCAKC7FR138417/gfas?cb=16777551996700.4782935067564471
complete,# 18289 : Bulletin Loss of Steering Assist,18V586,2018-09-07,"General Motors has decided that a defect which relates to motor vehicle safety exists in certain 2015 model year Chevrolet Silverado LD, Suburban, and Tahoe vehicles; GMC Sierra LD and Yukon vehicles; Cadillac Escalade vehicles.  These vehicles may experience a temporary loss of EPS assist followed by a sudden return of EPS assist, particularly during low-speed turning maneuvers.  The loss and sudden return of EPS assist typically happens within a 1 second period and is caused by an electrical/software issue.","If EPS assist is lost and suddenly returned, the driver could have difficulty steering the vehicle, especially at low speeds, increasing the risk of a crash.",Dealers will perform a reflash of the EPS module software free of charge.,https://www.chevrolet.com/ownercenter/api/1GNSCAKC7FR138417/gfas?cb=16777551996700.4782935067564471
complete,# 14121 : TRANSMISSION OIL COOLER CONNECTION,14V152,2014-04-01,"General Motors is recalling certain model year 2014 Chevrolet Silverado Light Duty Regular Cab, Double Cab, and Crew Cab 1500 series and model year 2015 Suburban and Tahoe; GMC model year 2014 Sierra Regular Cab, Double Cab, and Crew Cab 1500 Series and model year 2015 Yukon and Yukon XL vehicles equipped with a 6-Speed Automatic Transmission (feature code MYC).  The subject vehicles may have a transmission oil cooler line that is not securely seated in the fitting.","If the line is not securely seated and transmission oil leaks from the fitting, the oil could contact a hot surface and cause a vehicle fire.","Dealers will inspect the transmission oil cooler line connection and repair the vehicles, as needed, free of charge.",https://www.chevrolet.com/ownercenter/api/1GNSCAKC7FR138417/gfas?cb=16777551996700.4782935067564471
complete,# 14315 : BASE RADIO LOCK UP,14V301,2014-06-02,"General Motors has decided that certain 2014 MY Chevrolet Silverado LD, 2015 MY Chevrolet Silverado HD, Tahoe, Suburban and 2014 MY GMC Sierra LD, 2015 MY GMC Sierra HD vehicles equipped with a base radio and an internal amplifier (IO3 & (UQ3/UQ5)) may fail to conform to Federal Motor Vehicle Safety Standards 114 Theft protection and Rollaway Protection, and 208 Occupant Crash Protection. On these vehicles, the radio may become inoperative, causing a no-chime condition. There would not be an audible warning if the key is in the ignition and the driver's door is opened, and there would not be a seat belt audible warning if a front outboard seat belt is not buckled. Radio and chime functions are not restored until the battery is disconnected and reconnected.","Loss of the seat belt audible warning may increase the likelihood that a front outboard occupant is unbelted, increasing the risk of injury in a crash. Loss of an audible warning when a key is left in the ignition may increase the risk of vehicle theft.",Dealers are to reflash the base radio with updated software. This service will be performed for you at no charge.,https://www.chevrolet.com/ownercenter/api/1GNSCAKC7FR138417/gfas?cb=16777551996700.4782935067564471
incomplete,Brake Assist Decreased Due To Vacuum Loss,,2019-04-10,"Some 2014 – 2018 model year GM vehicles may have a condition where customers may experience increased brake pedal effort, hard brake pedal, and/or potentially increased stopping distance. The condition is more prevalent at low speed when softly applying the brakes. The engine mounted mechanical vacuum pump output may decrease over time decreasing the amount of vacuum/power brake assist. Failure to follow recommended oil change intervals could contribute to this condition. The Driver’s Information Center, (DIC) “Service brake assist” alert will activate 2-5 minutes after the vacuum level drops, and a Diagnostic Trouble Code, (DTC) will also be set. Even where this condition occurs, the hydraulic brake system remains functional but may require additional pedal force.

This special coverage covers the condition described above for a period of 10 years or 150,000 miles (240,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,Dealers are to replace the vacuum pump and vacuum pump belt.  The repairs will be made at no charge to the customer.,https://www.chevrolet.com/ownercenter/api/1GNSCAKC7FR138417/gfas?cb=16777551996700.4782935067564471
incomplete,# 17336 : Combi-Cooler Air Conditioner Refrigerant Leak,,2017-10-06,"Some 2015-2017 model year Cadillac Escalade, Escalade ESV, Chevrolet Suburban, Tahoe, GMC Yukon and Yukon XL vehicles, may have a condition where thermal cycling on the combination transmission fluid/oil and AC condenser cooler creates a crack that may allow refrigerant to escape. This condition consequently may deactivate the AC system which may cause potential customer annoyance.

This special coverage covers the condition described above for a period of 5 years or 60,000 miles (100,000 km) for Chevrolet Suburban, Tahoe, GMC Yukon and Yukon XL and 6 years or 72,000 miles (116,000 km) for Cadillac Escalade and Escalade ESV, whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,Dealers are to inspect the air conditioning condenser and replace if necessary.  The repairs will be made at no charge to the customer.,https://www.chevrolet.com/ownercenter/api/1GNSCAKC7FR138417/gfas?cb=16777551996700.4782935067564471
complete,Increased Brake Pedal Effort,19V645,2019-09-06,"General Motors has decided that a defect which relates to motor vehicle safety exists in certain 2014-2018 model year Cadillac Escalade, Chevrolet Silverado, Chevrolet Suburban, Chevrolet Tahoe, GMC Sierra, and GMC Yukon vehicles. In some circumstances, these vehicle may have a condition in which the engine-mounted mechanical vacuum pump output may decrease over time, decreasing the amount of vacuum/power brake assist.",.,Dealers will reprogram the electronic brake control module with a new calibration that will improve how the system utilizes the hydraulic brake boost assist function when vacuum assist is depleted.,https://www.chevrolet.com/ownercenter/api/1GNSCAKC7FR138417/gfas?cb=16777551996700.4782935067564471
incomplete,Front Passenger Airbag Takata Inflator - Priority Group 10,21V054,2021-02-05,"TK Holdings Inc. (“Takata”) has decided that a defect which relates to motor vehicle safety exists in the passenger-side frontal airbag inflators installed as original equipment in certain 2007 to 2014 model year Cadillac Escalade, Escalade ESV, and Escalade EXT vehicles; certain Chevrolet Avalanche, Silverado 1500, Silverado 2500/3500, Suburban, and Tahoe vehicles; and certain GMC Sierra 1500, Sierra 2500/3500, Yukon, and Yukon XL vehicles.  The determination was made that the propellant in these inflators may degrade after long-term exposure to high humidity and temperature cycling, which could cause the inflator to rupture during a deployment.","An inﬂator rupture may cause metal fragments to pass through the airbag and into the vehicle interior at high speed, which may result in injury or death to vehicle occupants.",Dealers will replace the passenger-side frontal airbag inflator.,https://www.chevrolet.com/ownercenter/api/1GNSCBE08ER216404/gfas?cb=16777551996700.4782935067564471
incomplete,Loss of Continuity within Accelerator Pedal Position Sensor Circuit,,2019-08-15,"Some 2017-2018 model year Buick LaCrosse, 2018 model year Buick Regal, 2016-2018 model year Chevrolet Malibu vehicles may have a condition that affects the electrical connection to one of the vehicle’s accelerator pedal position sensors. If this electrical connection is interrupted, the accelerator pedal will still function, but the vehicle will enter a reduced engine power mode where the vehicle’s maximum acceleration and torque are reduced. Additionally, the Malfunction Indicator Light (Check Engine Light) will illuminate, the ‘Engine Power is Reduced’ message will display, and a diagnostic trouble code for Accelerator Pedal Position Sensor Correlation (P2138) will be set when this condition occurs.

This special coverage covers the condition described above for a period of 10 years or 150,000 miles (240,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,Dealers are to replace the accelerator pedal and position sensor assembly as necessary and repair the engine wire harness (Malibu LFV only). The repairs will be made at no charge to the customer.,https://www.chevrolet.com/ownercenter/api/1G1ZB5STXJF223000/gfas?cb=16777551996700.4782935067564471
complete,ECM Malfunction,19V642,2019-09-06,"General Motors has decided that a defect which relates to motor vehicle safety exists in certain 2018 model year Chevrolet Malibu vehicles equipped with 1.5L Turbo engines. Under certain conditions, an error in the vehicles’ engine control module (ECM) software can cause data used by the ECM to become corrupted. When this occurs, the ECM may send a signal disabling the engine’s fuel injectors. If the fuel injectors are disabled, the engine may not start and, in rare cases, the engine may stall after it is started.","In rare cases this condition can cause the engine to stall at speed and without warning, increasing the risk of a crash.",Dealers will reprogram the ECM software to correct the error.,https://www.chevrolet.com/ownercenter/api/1G1ZB5STXJF223000/gfas?cb=16777551996700.4782935067564471
complete,# 18279 : Rear Brake Piston Degassing Causing Soft Pedal,18V576,2018-08-30,"General Motors has decided that a defect which relates to motor vehicle safety exists in certain 2018–2019 model year GMC Terrain vehicles; 2018 model year Chevrolet Malibu vehicles; 2018–2019 model year Chevrolet Cruze, Equinox, Volt, Impala, and Bolt vehicles; 2018–2019 model year Buick Lacrosse and Regal vehicles; and 2018–2019 model year Cadillac XTS vehicles.  In a small number of these vehicles, the rear-brake caliper pistons may contain trapped hydrogen gas that could be released into the vehicle’s brake system.","If gas is present in the brake system, rear-brake performance may be reduced, increasing the risk of a crash.",Dealers will “bleed” the brake system to remove any gas from the rear brake system free of charge.,https://www.chevrolet.com/ownercenter/api/1G1ZB5STXJF223000/gfas?cb=16777551996700.4782935067564471
