Recall status,Name of Recall,Campaign/NHTSA,Date of recall,description,Safety Risk,Remedy,VIN,Open Recalls
Incomplete,REAR TOE LINK BALL JOINT INSPECTION,20S62/20V675,2020-10-30,OUR RECORDS INDICATE THAT A FORD SAFETY RECALL WAS PREVIOUSLY PERFORMED ON YOUR VEHICLE TO REPLACE THE REAR SUSPENSION TOE LINKS.  ASSESSMENT OF FIELD DATA INDICATES THAT THE BALL JOINT USED TO ATTACH THE REAR TOE LINK MAY BE SUSCEPTIBLE TO SEIZING IN CERTAIN HIGH CORROSION AREAS.  A SEIZED TOE LINK BALL JOINT CAN INCREASE BENDING STRESSES IN THE TOE LINK AND POTENTIALLY LEAD TO A FRACTURE.,"REAR TOE LINK FRACTURE WHILE DRIVING COULD RESULT IN UNUSUAL VEHICLE HANDLING CHARACTERISTICS, OR DIFFICULTY CONTROLLING THE VEHICLE AND MAY INCREASE THE RISK OF A CRASH.","FORD MOTOR COMPANY HAS AUTHORIZED YOUR DEALER TO INSPECT BOTH REAR TOE LINK BALL JOINTS AND, IF NECESSARY, REPLACE THE REAR WHEEL KNUCKLE(S), AND ADJUST REAR TOE FREE OF CHARGE (PARTS AND LABOR).",1FM5K7F82FGA89653,yes
Incomplete,DRIVER AIRBAG INFLATOR REPLACEMENT,21S12/21V158,2021-03-25,DRIVER AIRBAG INFLATOR REPLACEMENT,"THE DRIVER AIRBAG INFLATOR IN YOUR VEHICLE MAY EXPLODE IN THE EVENT OF A CRASH THAT CAUSES DEPLOYMENT OF THE DRIVER AIRBAG. IF AN AIRBAG INFLATOR EXPLODES, SHARP METAL FRAGMENTS COULD STRIKE THE DRIVER OR OTHER OCCUPANTS CAUSING SERIOUS INJURY OR DEATH.","FORD MOTOR COMPANY IS WORKING CLOSELY WITH ITS SUPPLIERS TO PRODUCE PARTS FOR THIS REPAIR. WHEN PARTS BECOME AVAILABLE IN SUFFICIENT QUANTITIES, OWNERS WILL BE NOTIFIED BY MAIL AND INSTRUCTED TO TAKE THEIR VEHICLE TO A FORD OR LINCOLN DEALER TO HAVE THE DRIVER AIRBAG INFLATOR REPLACED. THERE WILL BE NO CHARGE FOR THIS SERVICE.",1FTZR45E07PA11042,yes
,,,,,,,1ZVBP8AN7A5181323,No
,,,,,,,1ftpw14575fa91152,No
Incomplete,2011-2013 EXPLORER BUILT WITH RUBBER BUSHINGS OR ZF CABJS CORROSION,21S43/21V746,2021-11-04,"VEHICLES EXPOSED TO A CORROSIVE ENVIRONMENT WHERE ROAD SALT IS USED EXTENSIVELY DURING WINTER MONTHS, COULD EXPERIENCE A SEIZED REAR SUSPENSION TOE LINK BALL JOINT RESULTING IN A FRACTURED REAR SUSPENSION TOE LINK. WHILE YOUR VEHICLE WAS NOT ORIGINALLY BUILT WITH REAR TOE LINK BALL JOINTS SUSCEPTIBLE TO THIS CONDITION, OUR RECORDS INDICATE THAT SUSCEPTIBLE COMPONENTS WERE SUBSEQUENTLY INSTALLED ON YOUR VEHICLE DURING REAR SUSPENSION SERVICE.","A SEIZED TOE LINK BALL JOINT CAN CAUSE A TOE LINK FRACTURE. REAR TOE LINK FRACTURE WHILE DRIVING COULD RESULT IN UNUSUAL VEHICLE HANDLING CHARACTERISTICS, OR DIFFICULTY CONTROLLING THE VEHICLE, AND MAY INCREASE THE RISK OF A CRASH.",FORD MOTOR COMPANY HAS AUTHORIZED YOUR DEALER TO INSPECT BOTH TOE LINK CONNECTIONS TO CONFIRM THAT A SUSCEPTIBLE BALL JOINT WAS INSTALLED. IF YOUR VEHICLE HAS A SUSCEPTIBLE BALL JOINT INSTALLED THEN YOUR DEALER WILL REPLACE BOTH REAR TOE LINKS WITH AN UPDATED DESIGN. THESE SERVICES MUST BE PERFORMED ON ALL AFFECTED VEHICLES AT NO CHARGE TO THE VEHICLE OWNER.,1fmhk8d82cga89234,yes
,,,,,,,1ftex1cm9efb01046,No
,,,,,,,1fadp3k22Gl231462,No
Incomplete,BRAKE BOOSTER VACUUM HOSE REPLACEMENT,08S05/08V208000,2008-05-07,"FORD IS RECALLING 605,684 MY 2005-2006 F-150 AND LINCOLN MARK LT VEHICLES EQUIPPED WITH 5.4L 3-VALVE ENGINES.  THE BRAKE BOOSTER VACUUM SUPPLY HOSE ATTACHED TO THE INTAKE MANIFOLD FITTING MAY SWELL OVER TIME AND LOSE RETENTION FORCE.  THIS CONDITION COULD ALLOW THE HOSE TO BECOME DETACHED FROM THE FITTING DURING AN INTAKE MANIFOLD BACKFIRE.  SHOULD THE HOSE DETACH FROM THE INTAKE MANIFOLD, SEVERAL BRAKE APPLICATIONS WITH POWER ASSIST WILL BE AVAILABLE BEFORE THE VACUUM RESERVE IS DEPLETED.","ONCE THE BRAKE BOOSTER VACUUM RESERVE IS DEPLETED, THE DRIVER WILL HAVE FOUNDATION BRAKE FUNCTION, BUT WITH INCREASED BRAKE PEDAL EFFORT.  REDUCED VEHICLE BRAKING COULD LEAD TO A CRASH.","DEALERS WILL REPLACE A RUBBER HOSE ON THE BRAKE BOOSTER VACUUM SUPPLY TUBE ASSEMBLY.  THE RECALL BEGAN ON JUNE 27, 2008.  OWNERS MAY CONTACT FORD AT 1-866-436-7332.",1ftpw12535fa13518,yes
,,,,,,,1FTEW1E55LFC22226,No
,,,,,,,1fmzu84p01ub25149,No
,,,,,,,1FATP8UHXK5179294,No
,,,,,,,1FM5K8D85HGC54994,No
